favoriteSlug,question_number,title,difficulty,ac_rate,topics,paidOnly,status,titleSlug
facebook-three-months,1,Two Sum,Easy,0.568056198,Array;Hash Table,FALSE,SOLVED,two-sum
facebook-three-months,2,Add Two Numbers,Medium,0.476161327,Linked List;Math;Recursion,FALSE,TO_DO,add-two-numbers
facebook-three-months,3,Longest Substring Without Repeating Characters,Medium,0.381778523,Hash Table;Sliding Window;String,FALSE,TO_DO,longest-substring-without-repeating-characters
facebook-three-months,4,Median of Two Sorted Arrays,Hard,0.455398471,Array;Binary Search;Divide and Conquer,FALSE,TO_DO,median-of-two-sorted-arrays
facebook-three-months,5,Longest Palindromic Substring,Medium,0.370210172,Dynamic Programming;String;Two Pointers,FALSE,TO_DO,longest-palindromic-substring
facebook-three-months,6,Zigzag Conversion,Medium,0.531853491,String,FALSE,TO_DO,zigzag-conversion
facebook-three-months,7,Reverse Integer,Medium,0.312760432,Math,FALSE,TO_DO,reverse-integer
facebook-three-months,8,String to Integer (atoi),Medium,0.203294046,String,FALSE,TO_DO,string-to-integer-atoi
facebook-three-months,9,Palindrome Number,Easy,0.600671683,Math,FALSE,TO_DO,palindrome-number
facebook-three-months,10,Regular Expression Matching,Hard,0.301934783,Dynamic Programming;Recursion;String,FALSE,TO_DO,regular-expression-matching
facebook-three-months,11,Container With Most Water,Medium,0.592345102,Array;Greedy;Two Pointers,FALSE,TO_DO,container-with-most-water
facebook-three-months,12,Integer to Roman,Medium,0.701145668,Hash Table;Math;String,FALSE,TO_DO,integer-to-roman
facebook-three-months,13,Roman to Integer,Easy,0.659956764,Hash Table;Math;String,FALSE,TO_DO,roman-to-integer
facebook-three-months,14,Longest Common Prefix,Easy,0.467934331,Array;String;Trie,FALSE,TO_DO,longest-common-prefix
facebook-three-months,15,3Sum,Medium,0.382812919,Array;Sorting;Two Pointers,FALSE,TO_DO,3sum
facebook-three-months,16,3Sum Closest,Medium,0.477920062,Array;Sorting;Two Pointers,FALSE,TO_DO,3sum-closest
facebook-three-months,19,Remove Nth Node From End of List,Medium,0.50629833,Linked List;Two Pointers,FALSE,TO_DO,remove-nth-node-from-end-of-list
facebook-three-months,20,Valid Parentheses,Easy,0.434363321,Stack;String,FALSE,TO_DO,valid-parentheses
facebook-three-months,21,Merge Two Sorted Lists,Easy,0.677137156,Linked List;Recursion,FALSE,TO_DO,merge-two-sorted-lists
facebook-three-months,22,Generate Parentheses,Medium,0.780613917,Backtracking;Dynamic Programming;String,FALSE,TO_DO,generate-parentheses
facebook-three-months,23,Merge k Sorted Lists,Hard,0.584940077,Divide and Conquer;Heap (Priority Queue);Linked List;Merge Sort,FALSE,TO_DO,merge-k-sorted-lists
facebook-three-months,26,Remove Duplicates from Sorted Array,Easy,0.618912065,Array;Two Pointers,FALSE,TO_DO,remove-duplicates-from-sorted-array
facebook-three-months,27,Remove Element,Easy,0.610949644,Array;Two Pointers,FALSE,TO_DO,remove-element
facebook-three-months,31,Next Permutation,Medium,0.444398296,Array;Two Pointers,FALSE,TO_DO,next-permutation
facebook-three-months,32,Longest Valid Parentheses,Hard,0.37705935,Dynamic Programming;Stack;String,FALSE,TO_DO,longest-valid-parentheses
facebook-three-months,33,Search in Rotated Sorted Array,Medium,0.43866527,Array;Binary Search,FALSE,TO_DO,search-in-rotated-sorted-array
facebook-three-months,34,Find First and Last Position of Element in Sorted Array,Medium,0.480436346,Array;Binary Search,FALSE,TO_DO,find-first-and-last-position-of-element-in-sorted-array
facebook-three-months,35,Search Insert Position,Easy,0.503491062,Array;Binary Search,FALSE,TO_DO,search-insert-position
facebook-three-months,39,Combination Sum,Medium,0.758301234,Array;Backtracking,FALSE,TO_DO,combination-sum
facebook-three-months,42,Trapping Rain Water,Hard,0.66471024,Array;Dynamic Programming;Monotonic Stack;Stack;Two Pointers,FALSE,TO_DO,trapping-rain-water
facebook-three-months,48,Rotate Image,Medium,0.790926508,Array;Math;Matrix,FALSE,TO_DO,rotate-image
facebook-three-months,49,Group Anagrams,Medium,0.719404276,Array;Hash Table;Sorting;String,FALSE,TO_DO,group-anagrams
facebook-three-months,50,"Pow(x, n)",Medium,0.380376693,Math;Recursion,FALSE,TO_DO,powx-n
facebook-three-months,53,Maximum Subarray,Medium,0.527977154,Array;Divide and Conquer;Dynamic Programming,FALSE,SOLVED,maximum-subarray
facebook-three-months,54,Spiral Matrix,Medium,0.557549589,Array;Matrix;Simulation,FALSE,TO_DO,spiral-matrix
facebook-three-months,55,Jump Game,Medium,0.402979635,Array;Dynamic Programming;Greedy,FALSE,TO_DO,jump-game
facebook-three-months,56,Merge Intervals,Medium,0.508053031,Array;Sorting,FALSE,TO_DO,merge-intervals
facebook-three-months,58,Length of Last Word,Easy,0.579239735,String,FALSE,TO_DO,length-of-last-word
facebook-three-months,62,Unique Paths,Medium,0.6642369,Combinatorics;Dynamic Programming;Math,FALSE,TO_DO,unique-paths
facebook-three-months,65,Valid Number,Hard,0.224234966,String,FALSE,TO_DO,valid-number
facebook-three-months,66,Plus One,Easy,0.492516748,Array;Math,FALSE,TO_DO,plus-one
facebook-three-months,67,Add Binary,Easy,0.566595543,Bit Manipulation;Math;Simulation;String,FALSE,TO_DO,add-binary
facebook-three-months,68,Text Justification,Hard,0.500545495,Array;Simulation;String,FALSE,TO_DO,text-justification
facebook-three-months,70,Climbing Stairs,Easy,0.538323203,Dynamic Programming;Math;Memoization,FALSE,TO_DO,climbing-stairs
facebook-three-months,71,Simplify Path,Medium,0.496781736,Stack;String,FALSE,TO_DO,simplify-path
facebook-three-months,73,Set Matrix Zeroes,Medium,0.621336924,Array;Hash Table;Matrix,FALSE,TO_DO,set-matrix-zeroes
facebook-three-months,75,Sort Colors,Medium,0.688474468,Array;Sorting;Two Pointers,FALSE,TO_DO,sort-colors
facebook-three-months,76,Minimum Window Substring,Hard,0.466406287,Hash Table;Sliding Window;String,FALSE,TO_DO,minimum-window-substring
facebook-three-months,78,Subsets,Medium,0.818401026,Array;Backtracking;Bit Manipulation,FALSE,TO_DO,subsets
facebook-three-months,79,Word Search,Medium,0.465628206,Array;Backtracking;Depth-First Search;Matrix;String,FALSE,TO_DO,word-search
facebook-three-months,83,Remove Duplicates from Sorted List,Easy,0.55997405,Linked List,FALSE,TO_DO,remove-duplicates-from-sorted-list
facebook-three-months,84,Largest Rectangle in Histogram,Hard,0.489568592,Array;Monotonic Stack;Stack,FALSE,TO_DO,largest-rectangle-in-histogram
