favoriteSlug,question_number,title,difficulty,ac_rate,topics
database,175,Combine Two Tables,Easy,0.7899132516286607,Database
database,176,Second Highest Salary,Medium,0.45923024959355874,Database
database,177,Nth Highest Salary,Medium,0.38700252383123185,Database
database,178,Rank Scores,Medium,0.6678510620150269,Database
database,180,Consecutive Numbers,Medium,0.47562498721733265,Database
database,181,Employees Earning More Than Their Managers,Easy,0.7260679344684935,Database
database,182,Duplicate Emails,Easy,0.732166137006385,Database
database,183,Customers Who Never Order,Easy,0.7131012989836019,Database
database,184,Department Highest Salary,Medium,0.5685510734175699,Database
database,185,Department Top Three Salaries,Hard,0.5949667864768788,Database
database,196,Delete Duplicate Emails,Easy,0.6538395857961163,Database
database,197,Rising Temperature,Easy,0.5090810743568498,Database
database,262,Trips and Users,Hard,0.37485813481334035,Database
database,511,Game Play Analysis I,Easy,0.7615467629877877,Database
database,512,Game Play Analysis II,Easy,0.5447290814313306,Database
database,534,Game Play Analysis III,Medium,0.813347308968373,Database
database,550,Game Play Analysis IV,Medium,0.405165550166673,Database
database,569,Median Employee Salary,Hard,0.6603944321720384,Database
database,570,Managers with at Least 5 Direct Reports,Medium,0.4892217063551495,Database
database,571,Find Median Given Frequency of Numbers,Hard,0.4233377091036094,Database
database,574,Winning Candidate,Medium,0.6246511704258183,Database
database,577,Employee Bonus,Easy,0.7700499149608695,Database
database,578,Get Highest Answer Rate Question,Medium,0.4006316251014689,Database
database,579,Find Cumulative Salary of an Employee,Hard,0.49320443885139,Database
database,580,Count Student Number in Departments,Medium,0.5991064584317339,Database
database,584,Find Customer Referee,Easy,0.7238797543991314,Database
database,585,Investments in 2016,Medium,0.5070788350693786,Database
database,586,Customer Placing the Largest Number of Orders,Easy,0.6419229663696464,Database
database,595,Big Countries,Easy,0.6835397064963593,Database
database,596,Classes With at Least 5 Students,Easy,0.627999171903741,Database
database,597,Friend Requests I: Overall Acceptance Rate,Easy,0.41187507216256786,Database
database,601,Human Traffic of Stadium,Hard,0.5053243751132761,Database
database,602,Friend Requests II: Who Has the Most Friends,Medium,0.6207294814637503,Database
database,603,Consecutive Available Seats,Easy,0.6511907672117648,Database
database,607,Sales Person,Easy,0.6591481060849026,Database
database,608,Tree Node,Medium,0.7490988612735225,Database
database,610,Triangle Judgement,Easy,0.744383196524742,Database
database,612,Shortest Distance in a Plane,Medium,0.6112053896112182,Database
database,613,Shortest Distance in a Line,Easy,0.7978762951454089,Database
database,614,Second Degree Follower,Medium,0.4062766047324742,Database
database,615,Average Salary: Departments VS Company,Hard,0.5673239585536054,Database
database,618,Students Report By Geography,Hard,0.6358468446548253,Database
database,619,Biggest Single Number,Easy,0.707249387159574,Database
database,620,Not Boring Movies,Easy,0.7519761983766875,Database
database,626,Exchange Seats,Medium,0.7367938027507912,Database
database,627,Swap Sex of Employees,Easy,0.8443159094881568,Database
database,1045,Customers Who Bought All Products,Medium,0.635714555881095,Database
database,1050,Actors and Directors Who Cooperated At Least Three Times,Easy,0.7085305979309137,Database
database,1068,Product Sales Analysis I,Easy,0.8546215411678094,Database
database,1069,Product Sales Analysis II,Easy,0.8256720430107527,Database
